InterventionName,type,SchoolCloseDate,SchoolCloseReductionPer,SchoolOpenDate,SchoolOpenReductionAmt,InterventionStartReductionDate,InterventionReductionPerMin,InterventionReductionPerMax,InterventionReductionPerLowMin,InterventionReductionPerLowMax,InterventionStartReductionDateCalcDays,InterventionStartEndLift,InterventionStartEndLiftCalcDays,InterventionEndPerIncrease,InterventionMobilityEffect,QuarantineType,PerFollowQuarantine,QuarantineStartDate,TestingAvailabilityDateHosp,TestingAvailabilityDateComm,finaldate,ContactTracing,testExtra
baseline.fitmodel,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Alabama,baseline,3/19/2020,0.25,9/8/2020,0.75,3/11/2020,0.2,0.5,0.51,0.8,4/12/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Arizona,baseline,3/16/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Arkansas,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/21/2020,5/3/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
California,baseline,3/19/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/21/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Colorado,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/21/2020,5/2/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Connecticut,baseline,3/17/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/30/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Delaware,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
District of Columbia,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Florida,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Georgia,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Idaho,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Illinois,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Indiana,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Iowa,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Kansas,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Kentucky,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Louisiana,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Maine,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Maryland,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Massachusetts,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Michigan,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Minnesota,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Mississippi,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Missouri,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Nebraska,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Nevada,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
New Hampshire,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
New Jersey,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
New Mexico,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
New York,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
North Carolina,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
North Dakota,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Ohio,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Oklahoma,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Oregon,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Pennsylvania,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Rhode Island,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
South Carolina,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
South Dakota,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Tennessee,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Texas,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Utah,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Vermont,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Virginia,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Washington,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
West Virginia,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Wisconsin,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Montana,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Hawaii,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Wyoming,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Alaska,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
